id,category_id,created_at,edited_at,name
82abd531-b15f-4949-bb84-d36d7c35f0af,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:00,2025-06-08 00:57:01.532795+03:00,Options
c19ea47b-11ca-424c-9350-7811c86d07be,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:01,2025-06-08 00:57:01.532795+03:01,DevOps outline
956e7474-ce54-446c-95fa-4100655a6a80,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:02,2025-06-08 00:57:01.532795+03:02,Orchestration via Kubernetes
3b854085-d26a-4f8c-90f5-36abbf1756c0,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:03,2025-06-08 00:57:01.532795+03:03,Bonds
09b31ea3-2b5a-43c6-9f85-56713282ab4c,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:04,2025-06-08 00:57:01.532795+03:04,Load balancing via HAProxy
dca7cae0-6b13-423d-9f1e-2186733e5fc5,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:05,2025-06-08 00:57:01.532795+03:05,Stocks
da9e90f4-85dd-4b2b-bd12-b66e9e414fb9,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:06,2025-06-08 00:57:01.532795+03:06,Cryptocurrencies
5225f308-a209-45be-9aab-2afc623f5a37,62c2aa58-e941-4b85-a982-2e01670c3207 ,2025-06-08 00:57:01.532795+03:07,2025-06-08 00:57:01.532795+03:07,PR strategy
c9f64deb-3546-4bf8-9721-85c2ccab41ae,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:08,2025-06-08 00:57:01.532795+03:08,IPOs
49a2c2f6-6fce-4acb-b672-07cad09a2ade,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:09,2025-06-08 00:57:01.532795+03:09,Configuration management via Ansible
8e283f4e-4e70-4ef8-b863-78c9cab9dd1e,62c2aa58-e941-4b85-a982-2e01670c3207 ,2025-06-08 00:57:01.532795+03:10,2025-06-08 00:57:01.532795+03:10,SEO fundamentals
cb6543a2-b45a-4710-9c2d-8dfb405b2870,62c2aa58-e941-4b85-a982-2e01670c3207 ,2025-06-08 00:57:01.532795+03:11,2025-06-08 00:57:01.532795+03:11,Market research
066acc5c-6b83-4412-85b0-90863c48a2ab,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:12,2025-06-08 00:57:01.532795+03:12,Message brokers with Apache Kafka
4a4b4439-2109-4c37-ab22-bddd0d3373e2,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:13,2025-06-08 00:57:01.532795+03:13,Investment funds
d12f4bb9-281b-48b6-85cb-5c36947eece9,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:14,2025-06-08 00:57:01.532795+03:14,LBOs
59964756-6cab-431d-ab18-bb58d3de9aee,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:15,2025-06-08 00:57:01.532795+03:15,IaC von Terraform
14d38a11-1900-4eb8-9fc4-f2f9ada5a024,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:16,2025-06-08 00:57:01.532795+03:16,CI/CD mit GitLab
441d68da-b22f-49ef-89ca-35f1dedff690,62c2aa58-e941-4b85-a982-2e01670c3207 ,2025-06-08 00:57:01.532795+03:17,2025-06-08 00:57:01.532795+03:17,Vermarktung von Inhalten
d5f63b8b-15a6-40d8-91ca-7f577428ca65,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:18,2025-06-08 00:57:01.532795+03:18,Private equity
627cf0f5-901a-4aec-abc6-64ae7f646b51,62c2aa58-e941-4b85-a982-2e01670c3207 ,2025-06-08 00:57:01.532795+03:19,2025-06-08 00:57:01.532795+03:19,Brand storytelling
09fc9de3-0de9-4033-a675-4a30be442674,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:20,2025-06-08 00:57:01.532795+03:20,Accounting
c054a7b1-7931-4a32-8a99-3bee7cf2cc9c,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:21,2025-06-08 00:57:01.532795+03:21,Fintech
b9f010d7-a496-4baa-b47d-2059bbbf1e8e,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:22,2025-06-08 00:57:01.532795+03:22,Containerization through Docker
23a4cc9d-ed35-49d0-ad85-cc36bdc32331,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:23,2025-06-08 00:57:01.532795+03:23,SQL databases with PostgreSQL
8539bb2d-6da3-4a1a-965a-acd41aaed325,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:24,2025-06-08 00:57:01.532795+03:24,Corporate finance outline
1fc79601-aa0d-4f9e-bd1d-12bcd96c8fe8,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:25,2025-06-08 00:57:01.532795+03:25,Cybersecurity
cfafc82b-73ee-497f-a41a-f6d49a77fb3d,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:26,2025-06-08 00:57:01.532795+03:26,Monitoring through Prometheus
a7495efb-cca8-43a8-8e0f-0e38c0d1fb85,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:27,2025-06-08 00:57:01.532795+03:27,Logging with ELK
d2b691ab-9fd4-400b-a65d-bf4680e90f71,c2dfe11c-e405-468a-932d-2ef78195e7f3,2025-06-08 00:57:01.532795+03:28,2025-06-08 00:57:01.532795+03:28,Venture capital
4683038f-2f67-4ff6-beea-613378a8adea,586e78e9-6b23-443f-9bf3-28fb09ec8b7a,2025-06-08 00:57:01.532795+03:29,2025-06-08 00:57:01.532795+03:29,NoSQL databases with Apache Cassandra
